,winDiff,pk,coverage,purity,recall,precision,episode,season
affinity,0.14,0.013,0.787,0.643,0.053,0.055,10,2
affinity,0.181,0.102,0.951,0.943,0.95,0.942,10,2
affinity,0.562,0.424,0.951,0.943,0.037,0.043,10,2
KMeans,3.675,0.011,0.684,0.765,0.053,0.047,11,2
KMeans,0.157,0.081,0.951,0.953,0.956,0.958,11,2
KMeans,0.554,0.421,0.951,0.953,0.154,0.148,11,2
KMeans,7.531,0.112,0.843,0.796,0.256,0.207,11,2
KMeans,0.114,0.061,0.96,0.953,0.972,0.964,11,2
KMeans,0.448,0.272,0.96,0.953,0.269,0.318,11,2
specteral,0.199,0.173,0.74,0.547,0.001,0.025,11,2
specteral,0.212,0.112,0.928,0.953,0.928,0.953,11,2
specteral,0.904,0.45,0.928,0.953,0.077,0.05,11,2
specteral,0.199,0.173,0.646,0.776,0.001,0.019,11,2
specteral,0.233,0.132,0.904,0.953,0.905,0.954,11,2
specteral,0.998,0.472,0.904,0.953,0.115,0.057,11,2
affinity,0.231,0.165,0.783,0.549,0.038,0.038,11,2
affinity,0.146,0.078,0.962,0.953,0.964,0.955,11,2
affinity,0.634,0.465,0.962,0.953,0.077,0.095,11,2
affinity,0.231,0.165,0.686,0.74,0.001,0.034,11,2
affinity,0.154,0.081,0.948,0.953,0.955,0.96,11,2
affinity,0.637,0.458,0.948,0.953,0.192,0.172,11,2
KMeans,0.196,0.02,0.728,0.742,0.191,0.19,12,2
KMeans,0.156,0.084,0.953,0.953,0.956,0.956,12,2
KMeans,0.553,0.411,0.953,0.953,0.111,0.111,12,2
KMeans,0.77,0.078,0.739,0.758,0.247,0.25,12,2
KMeans,0.135,0.084,0.953,0.953,0.956,0.956,12,2
KMeans,0.499,0.357,0.953,0.953,0.111,0.111,12,2
specteral,0.574,0.078,0.823,0.484,0.003,0.034,12,2
specteral,0.149,0.081,0.949,0.953,0.956,0.959,12,2
specteral,0.708,0.412,0.949,0.953,0.185,0.172,12,2
specteral,0.574,0.078,0.675,0.712,0.002,0.025,12,2
specteral,0.181,0.096,0.93,0.953,0.937,0.96,12,2
specteral,0.798,0.439,0.93,0.953,0.222,0.15,12,2
affinity,0.663,0.089,0.842,0.656,0.039,0.038,12,2
affinity,0.156,0.086,0.958,0.953,0.958,0.952,12,2
affinity,0.526,0.35,0.958,0.953,0.037,0.042,12,2
affinity,0.606,0.084,0.679,0.779,0.061,0.092,12,2
affinity,0.185,0.1,0.944,0.953,0.943,0.952,12,2
affinity,0.669,0.454,0.944,0.953,0.037,0.031,12,2
KMeans,1.148,0.045,0.722,0.8,0.126,0.111,13,2
KMeans,0.171,0.093,0.946,0.944,0.952,0.95,13,2
