,winDiff,pk,coverage,purity,recall,precision,season,episode
affinity,0.127,0.064,0.73,0.787,0.969,0.963,2,8
affinity,0.115,0.064,0.699,0.906,0.961,0.971,2,8
affinity,0.143,0.082,0.67,0.906,0.947,0.967,2,8
affinity,1.798,0.934,0.688,0.908,0.043,0.7,2,8
KMeans,0.148,0.086,0.772,0.816,0.955,0.955,2,9
KMeans,0.155,0.084,0.806,0.786,0.959,0.953,2,9
KMeans,0.173,0.094,0.799,0.822,0.953,0.948,2,9
KMeans,0.18,0.102,0.686,0.852,0.936,0.956,2,9
KMeans,0.159,0.089,0.736,0.879,0.946,0.96,2,9
KMeans,1.773,0.9,0.722,0.847,0.06,0.889,2,9
specteral,0.148,0.084,0.822,0.861,0.953,0.958,2,9
specteral,0.166,0.093,0.774,0.845,0.947,0.955,2,9
specteral,0.155,0.096,0.841,0.866,0.947,0.951,2,9
specteral,0.27,0.15,0.608,0.916,0.884,0.955,2,9
specteral,0.212,0.121,0.66,0.92,0.912,0.959,2,9
specteral,1.659,0.841,0.627,0.95,0.122,0.942,2,9
affinity,0.12,0.071,0.872,0.786,0.97,0.956,2,9
affinity,0.127,0.07,0.882,0.736,0.972,0.956,2,9
affinity,0.127,0.071,0.843,0.718,0.97,0.956,2,9
affinity,0.148,0.087,0.797,0.863,0.951,0.957,2,9
affinity,0.163,0.091,0.786,0.882,0.949,0.955,2,9
affinity,1.78,0.9,0.727,0.861,0.058,0.912,2,9
KMeans,0.16,0.091,0.787,0.8,0.955,0.948,2,10
KMeans,0.156,0.083,0.794,0.777,0.962,0.951,2,10
KMeans,0.151,0.081,0.815,0.796,0.962,0.953,2,10
KMeans,0.207,0.113,0.683,0.862,0.928,0.951,2,10
KMeans,0.177,0.106,0.704,0.877,0.937,0.95,2,10
KMeans,1.729,0.877,0.677,0.87,0.077,0.919,2,10
specteral,0.203,0.111,0.657,0.76,0.939,0.943,2,10
specteral,0.164,0.098,0.809,0.845,0.948,0.948,2,10
specteral,0.181,0.1,0.715,0.768,0.948,0.946,2,10
specteral,0.296,0.17,0.532,0.915,0.874,0.942,2,10
specteral,0.254,0.143,0.566,0.909,0.892,0.954,2,10
specteral,1.652,0.832,0.526,0.904,0.122,0.964,2,10
affinity,0.164,0.089,0.834,0.747,0.962,0.945,2,10
affinity,0.156,0.083,0.902,0.774,0.966,0.947,2,10
affinity,0.139,0.074,0.936,0.8,0.971,0.951,2,10
