,winDiff,pk,coverage,purity,recall,precision,season,episode
affinity,1.849,0.931,0.65,0.901,0.044,0.929,2,7
KMeans,0.13,0.065,0.775,0.85,0.962,0.97,2,8
KMeans,0.106,0.054,0.862,0.825,0.973,0.97,2,8
KMeans,0.112,0.061,0.82,0.856,0.966,0.972,2,8
KMeans,0.188,0.101,0.605,0.932,0.922,0.972,2,8
KMeans,0.188,0.104,0.622,0.938,0.923,0.967,2,8
KMeans,1.782,0.909,0.581,0.893,0.069,0.88,2,8
specteral,0.112,0.061,0.787,0.818,0.969,0.969,2,8
specteral,0.121,0.067,0.758,0.821,0.964,0.967,2,8
specteral,0.106,0.059,0.766,0.781,0.97,0.969,2,8
specteral,0.2,0.116,0.56,0.973,0.908,0.97,2,8
specteral,0.215,0.127,0.483,0.97,0.897,0.97,2,8
specteral,1.712,0.862,0.478,0.962,0.111,0.973,2,8
affinity,0.076,0.041,0.926,0.669,0.987,0.971,2,8
affinity,0.097,0.051,0.832,0.803,0.975,0.972,2,8
affinity,0.118,0.064,0.708,0.849,0.967,0.967,2,8
affinity,0.082,0.041,0.914,0.738,0.986,0.972,2,8
affinity,0.121,0.062,0.791,0.88,0.964,0.972,2,8
affinity,1.855,0.939,0.802,0.887,0.034,0.846,2,8
KMeans,0.102,0.052,0.786,0.901,0.969,0.977,3,1
KMeans,0.091,0.05,0.714,0.904,0.969,0.979,3,1
KMeans,0.098,0.052,0.704,0.871,0.968,0.978,3,1
KMeans,0.156,0.086,0.594,0.96,0.934,0.977,3,1
KMeans,0.163,0.085,0.464,0.961,0.933,0.98,3,1
KMeans,1.804,0.911,0.544,0.961,0.071,0.939,3,1
specteral,0.089,0.046,0.733,0.884,0.975,0.978,3,1
specteral,0.096,0.053,0.725,0.934,0.967,0.978,3,1
specteral,0.085,0.047,0.687,0.868,0.973,0.979,3,1
specteral,0.174,0.091,0.566,0.968,0.924,0.982,3,1
specteral,0.176,0.096,0.501,0.97,0.919,0.982,3,1
specteral,1.773,0.901,0.492,0.969,0.084,0.914,3,1
affinity,0.094,0.048,0.788,0.903,0.974,0.977,3,1
affinity,0.116,0.063,0.557,0.918,0.959,0.976,3,1
affinity,0.073,0.043,0.775,0.915,0.976,0.979,3,1
affinity,0.091,0.049,0.755,0.941,0.97,0.979,3,1
affinity,0.094,0.051,0.694,0.949,0.966,0.981,3,1
affinity,1.869,0.943,0.699,0.954,0.038,0.892,3,1
KMeans,0.089,0.051,0.819,0.863,0.972,0.976,3,2
KMeans,0.094,0.052,0.811,0.844,0.972,0.975,3,2
KMeans,0.089,0.049,0.82,0.865,0.973,0.976,3,2
KMeans,0.176,0.096,0.555,0.946,0.923,0.977,3,2
KMeans,0.153,0.083,0.597,0.938,0.936,0.977,3,2
KMeans,1.805,0.91,0.652,0.951,0.069,0.95,3,2
specteral,0.115,0.06,0.767,0.881,0.964,0.974,3,2
specteral,0.099,0.058,0.743,0.866,0.967,0.973,3,2
specteral,0.075,0.047,0.871,0.854,0.976,0.976,3,2
specteral,0.181,0.101,0.61,0.971,0.918,0.977,3,2
specteral,0.2,0.115,0.573,0.951,0.908,0.972,3,2
specteral,1.751,0.882,0.529,0.964,0.097,0.964,3,2
affinity,0.089,0.046,0.857,0.767,0.979,0.974,3,2
affinity,0.118,0.063,0.632,0.86,0.96,0.974,3,2
affinity,0.101,0.056,0.703,0.901,0.966,0.976,3,2
affinity,0.099,0.049,0.794,0.82,0.973,0.976,3,2
affinity,0.118,0.067,0.706,0.89,0.959,0.972,3,2
affinity,1.864,0.937,0.705,0.92,0.04,0.943,3,2
KMeans,0.074,0.04,0.615,0.855,0.974,0.984,3,4
KMeans,0.065,0.035,0.733,0.851,0.979,0.985,3,4
KMeans,0.077,0.04,0.693,0.871,0.975,0.983,3,4
KMeans,0.14,0.073,0.529,0.945,0.941,0.984,3,4
KMeans,0.112,0.061,0.523,0.941,0.952,0.985,3,4
KMeans,1.86,0.937,0.553,0.951,0.049,0.93,3,4
specteral,0.072,0.04,0.68,0.888,0.975,0.984,3,4
specteral,0.083,0.046,0.676,0.89,0.972,0.981,3,4
specteral,0.063,0.038,0.701,0.903,0.977,0.984,3,4
specteral,0.16,0.086,0.468,0.978,0.925,0.986,3,4
specteral,0.18,0.096,0.447,0.964,0.918,0.982,3,4
specteral,1.804,0.911,0.477,0.969,0.076,0.943,3,4
affinity,0.086,0.044,0.661,0.833,0.974,0.981,3,4
affinity,0.074,0.041,0.636,0.89,0.972,0.986,3,4
affinity,0.085,0.045,0.576,0.939,0.968,0.986,3,4
affinity,0.086,0.049,0.656,0.897,0.969,0.981,3,4
affinity,0.094,0.051,0.58,0.936,0.962,0.985,3,4
affinity,1.879,0.951,0.551,0.942,0.037,0.87,3,4
KMeans,0.078,0.044,0.707,0.902,0.972,0.983,3,5
KMeans,0.081,0.044,0.738,0.872,0.974,0.981,3,5
KMeans,0.074,0.038,0.765,0.878,0.979,0.982,3,5
KMeans,0.147,0.076,0.53,0.965,0.938,0.984,3,5
KMeans,0.126,0.067,0.56,0.94,0.948,0.983,3,5
KMeans,1.829,0.928,0.519,0.972,0.06,0.898,3,5
specteral,0.078,0.04,0.692,0.843,0.976,0.983,3,5
specteral,0.069,0.036,0.705,0.921,0.977,0.986,3,5
specteral,0.077,0.041,0.705,0.896,0.976,0.983,3,5
specteral,0.146,0.078,0.506,0.974,0.935,0.985,3,5
specteral,0.161,0.089,0.484,0.956,0.927,0.982,3,5
specteral,1.809,0.909,0.512,0.963,0.075,0.97,3,5
affinity,0.068,0.037,0.701,0.904,0.978,0.985,3,5
affinity,0.092,0.047,0.613,0.932,0.969,0.983,3,5
affinity,0.098,0.051,0.591,0.935,0.966,0.981,3,5
affinity,0.086,0.047,0.617,0.942,0.969,0.983,3,5
affinity,0.11,0.058,0.528,0.951,0.958,0.983,3,5
affinity,1.877,0.946,0.591,0.954,0.039,0.911,3,5
KMeans,0.085,0.048,0.755,0.841,0.973,0.978,3,7
KMeans,0.096,0.051,0.715,0.886,0.969,0.979,3,7
KMeans,0.076,0.046,0.809,0.92,0.973,0.98,3,7
KMeans,0.163,0.086,0.563,0.941,0.931,0.98,3,7
KMeans,0.157,0.086,0.509,0.939,0.931,0.98,3,7
KMeans,1.826,0.917,0.611,0.94,0.062,0.966,3,7
specteral,0.102,0.055,0.666,0.867,0.967,0.976,3,7
specteral,0.115,0.063,0.647,0.918,0.957,0.978,3,7
specteral,0.089,0.051,0.713,0.92,0.967,0.981,3,7
specteral,0.196,0.107,0.504,0.973,0.908,0.982,3,7
specteral,0.211,0.115,0.476,0.97,0.9,0.981,3,7
specteral,1.724,0.877,0.462,0.97,0.109,0.933,3,7
affinity,0.065,0.036,0.861,0.883,0.982,0.981,3,7
affinity,0.087,0.047,0.688,0.899,0.97,0.982,3,7
affinity,0.085,0.049,0.777,0.898,0.971,0.979,3,7
affinity,0.065,0.037,0.815,0.899,0.98,0.982,3,7
affinity,0.118,0.061,0.608,0.929,0.957,0.981,3,7
affinity,1.867,0.942,0.648,0.905,0.039,0.897,3,7
KMeans,0.081,0.044,0.721,0.888,0.974,0.981,3,8
KMeans,0.07,0.038,0.733,0.825,0.978,0.983,3,8
KMeans,0.075,0.041,0.745,0.817,0.978,0.981,3,8
KMeans,0.143,0.078,0.484,0.959,0.937,0.982,3,8
KMeans,0.134,0.074,0.497,0.934,0.942,0.981,3,8
KMeans,1.849,0.931,0.537,0.956,0.054,0.941,3,8
specteral,0.099,0.05,0.575,0.851,0.968,0.981,3,8
specteral,0.07,0.037,0.774,0.915,0.979,0.983,3,8
specteral,0.101,0.053,0.659,0.908,0.965,0.981,3,8
specteral,0.237,0.129,0.303,0.976,0.887,0.979,3,8
specteral,0.204,0.11,0.367,0.968,0.903,0.984,3,8
specteral,1.735,0.883,0.434,0.977,0.107,0.932,3,8
affinity,0.079,0.041,0.701,0.823,0.978,0.981,3,8
affinity,0.09,0.05,0.6,0.941,0.965,0.983,3,8
affinity,0.088,0.049,0.625,0.953,0.966,0.983,3,8
affinity,0.086,0.046,0.709,0.886,0.971,0.982,3,8
affinity,0.116,0.062,0.573,0.956,0.954,0.982,3,8
affinity,1.862,0.938,0.518,0.947,0.047,0.933,3,8
KMeans,0.121,0.063,0.68,0.82,0.96,0.975,3,10
KMeans,0.093,0.05,0.772,0.851,0.971,0.977,3,10
KMeans,0.1,0.053,0.734,0.809,0.969,0.976,3,10
KMeans,0.186,0.098,0.531,0.93,0.92,0.979,3,10
KMeans,0.177,0.093,0.528,0.919,0.924,0.979,3,10
KMeans,1.808,0.915,0.572,0.936,0.067,0.923,3,10
specteral,0.102,0.056,0.684,0.889,0.964,0.978,3,10
specteral,0.1,0.057,0.735,0.859,0.967,0.975,3,10
specteral,0.099,0.055,0.714,0.859,0.967,0.976,3,10
specteral,0.17,0.098,0.532,0.969,0.92,0.979,3,10
specteral,0.206,0.114,0.439,0.965,0.902,0.98,3,10
specteral,1.768,0.893,0.46,0.958,0.089,0.95,3,10
affinity,0.086,0.046,0.767,0.861,0.975,0.978,3,10
affinity,0.097,0.051,0.677,0.901,0.969,0.978,3,10
