,winDiff,pk,coverage,purity,recall,precision,episode,season
KMeans,0.434,0.279,0.964,0.976,0.091,0.061,7,3
specteral,0.147,0.008,0.718,0.925,0.087,0.097,7,3
specteral,0.107,0.058,0.955,0.976,0.96,0.981,7,3
specteral,0.636,0.327,0.955,0.976,0.227,0.122,7,3
specteral,0.147,0.008,0.715,0.917,0.093,0.1,7,3
specteral,0.096,0.054,0.959,0.976,0.963,0.981,7,3
specteral,0.528,0.292,0.959,0.976,0.227,0.132,7,3
affinity,0.105,0.006,0.811,0.908,0.37,0.389,7,3
affinity,0.067,0.039,0.972,0.976,0.978,0.982,7,3
affinity,0.338,0.26,0.972,0.976,0.273,0.231,7,3
affinity,0.623,0.061,0.742,0.922,0.003,0.03,7,3
affinity,0.087,0.051,0.964,0.976,0.968,0.98,7,3
affinity,0.434,0.281,0.964,0.976,0.182,0.121,7,3
KMeans,0.626,0.009,0.567,0.924,0.062,0.065,8,3
KMeans,0.125,0.065,0.955,0.98,0.954,0.979,8,3
KMeans,0.786,0.405,0.955,0.98,0.0,0.0,8,3
KMeans,1.289,0.04,0.669,0.939,0.119,0.153,8,3
KMeans,0.096,0.053,0.965,0.98,0.965,0.981,8,3
KMeans,0.571,0.353,0.965,0.98,0.056,0.031,8,3
specteral,0.346,0.007,0.539,0.904,0.08,0.106,8,3
specteral,0.092,0.049,0.964,0.98,0.966,0.983,8,3
specteral,0.574,0.445,0.964,0.98,0.167,0.091,8,3
specteral,0.765,0.03,0.559,0.911,0.031,0.045,8,3
specteral,0.105,0.057,0.954,0.98,0.958,0.984,8,3
specteral,0.865,0.418,0.954,0.98,0.222,0.095,8,3
affinity,0.501,0.031,0.811,0.933,0.079,0.097,8,3
affinity,0.068,0.041,0.975,0.98,0.977,0.982,8,3
affinity,0.302,0.223,0.975,0.98,0.111,0.087,8,3
affinity,0.464,0.04,0.541,0.954,0.007,0.034,8,3
affinity,0.101,0.055,0.961,0.98,0.962,0.982,8,3
affinity,0.618,0.423,0.961,0.98,0.111,0.056,8,3
KMeans,0.117,0.006,0.651,0.92,0.044,0.061,10,3
KMeans,0.104,0.056,0.958,0.975,0.963,0.98,10,3
KMeans,0.546,0.331,0.958,0.975,0.222,0.13,10,3
KMeans,0.754,0.038,0.73,0.915,0.044,0.05,10,3
KMeans,0.082,0.047,0.964,0.975,0.97,0.982,10,3
KMeans,0.423,0.29,0.964,0.975,0.296,0.2,10,3
specteral,0.539,0.037,0.736,0.893,0.044,0.054,10,3
specteral,0.088,0.049,0.963,0.975,0.968,0.981,10,3
specteral,0.434,0.272,0.963,0.975,0.259,0.171,10,3
specteral,0.117,0.006,0.629,0.881,0.068,0.089,10,3
specteral,0.104,0.06,0.961,0.975,0.962,0.976,10,3
specteral,0.521,0.378,0.961,0.975,0.074,0.047,10,3
affinity,0.744,0.049,0.762,0.864,0.043,0.05,10,3
affinity,0.093,0.051,0.97,0.975,0.971,0.976,10,3
