,winDiff,pk,coverage,purity,recall,precision,season,episode
KMeans,0.075,0.044,0.744,0.756,0.973,0.982,3,8
KMeans,0.083,0.044,0.743,0.892,0.973,0.982,3,8
specteral,0.09,0.046,0.68,0.876,0.972,0.981,3,8
specteral,0.081,0.043,0.777,0.909,0.975,0.981,3,8
specteral,0.099,0.054,0.86,0.43,0.963,0.982,3,8
specteral,0.101,0.054,0.843,0.43,0.964,0.981,3,8
affinity,0.068,0.039,0.807,0.927,0.978,0.982,3,8
affinity,0.09,0.049,0.62,0.933,0.968,0.982,3,8
affinity,0.101,0.051,0.779,0.643,0.965,0.982,3,8
affinity,0.081,0.043,0.8,0.553,0.972,0.984,3,8
KMeans,0.082,0.047,0.801,0.92,0.974,0.978,3,10
KMeans,0.079,0.04,0.814,0.786,0.979,0.979,3,10
KMeans,0.088,0.048,0.795,0.742,0.974,0.977,3,10
KMeans,0.088,0.049,0.705,0.799,0.971,0.978,3,10
specteral,0.06,0.032,0.8,0.816,0.984,0.983,3,10
specteral,0.079,0.041,0.773,0.807,0.979,0.979,3,10
specteral,0.091,0.047,0.852,0.339,0.976,0.976,3,10
specteral,0.117,0.063,0.787,0.609,0.961,0.974,3,10
affinity,0.089,0.049,0.757,0.855,0.972,0.977,3,10
affinity,0.088,0.047,0.753,0.926,0.972,0.98,3,10
affinity,0.117,0.058,0.761,0.703,0.964,0.975,3,10
affinity,0.104,0.054,0.784,0.684,0.969,0.976,3,10
