,winDiff,pk,coverage,purity,recall,precision,episode,season
affinity,0.104,0.053,0.958,0.981,0.962,0.984,6,2
affinity,1.036,0.514,0.958,0.981,0.2,0.091,6,2
KMeans,0.558,0.009,0.76,0.811,0.121,0.15,7,2
KMeans,0.106,0.06,0.962,0.971,0.965,0.974,7,2
KMeans,0.501,0.31,0.962,0.971,0.115,0.088,7,2
KMeans,2.242,0.102,0.75,0.864,0.13,0.154,7,2
KMeans,0.102,0.058,0.962,0.971,0.966,0.975,7,2
KMeans,0.544,0.352,0.962,0.971,0.154,0.118,7,2
specteral,0.084,0.04,0.814,0.53,0.002,0.029,7,2
specteral,0.106,0.06,0.962,0.971,0.965,0.974,7,2
specteral,0.633,0.343,0.962,0.971,0.115,0.088,7,2
specteral,0.092,0.037,0.793,0.58,0.002,0.029,7,2
specteral,0.12,0.065,0.961,0.971,0.961,0.971,7,2
specteral,0.685,0.421,0.961,0.971,0.038,0.029,7,2
affinity,0.092,0.037,0.771,0.61,0.002,0.027,7,2
affinity,0.111,0.065,0.959,0.971,0.96,0.972,7,2
affinity,0.661,0.375,0.959,0.971,0.077,0.054,7,2
affinity,0.092,0.037,0.721,0.889,0.002,0.024,7,2
affinity,0.111,0.068,0.955,0.971,0.957,0.973,7,2
affinity,0.524,0.33,0.955,0.971,0.115,0.073,7,2
KMeans,0.753,0.012,0.79,0.726,0.133,0.099,8,2
KMeans,0.118,0.062,0.965,0.967,0.967,0.969,8,2
KMeans,0.492,0.337,0.965,0.967,0.091,0.087,8,2
KMeans,1.131,0.054,0.781,0.773,0.241,0.268,8,2
KMeans,0.097,0.051,0.967,0.967,0.973,0.973,8,2
KMeans,0.446,0.368,0.967,0.967,0.227,0.227,8,2
specteral,0.232,0.045,0.767,0.543,0.003,0.033,8,2
specteral,0.136,0.07,0.955,0.967,0.958,0.97,8,2
specteral,0.786,0.45,0.955,0.967,0.136,0.1,8,2
specteral,0.239,0.047,0.722,0.681,0.002,0.026,8,2
specteral,0.158,0.079,0.943,0.967,0.947,0.971,8,2
specteral,0.783,0.388,0.943,0.967,0.182,0.105,8,2
affinity,0.227,0.045,0.802,0.628,0.003,0.037,8,2
affinity,0.13,0.065,0.959,0.967,0.962,0.97,8,2
affinity,0.59,0.386,0.959,0.967,0.136,0.111,8,2
affinity,0.227,0.045,0.814,0.693,0.003,0.037,8,2
affinity,0.121,0.065,0.959,0.967,0.962,0.97,8,2
affinity,0.488,0.317,0.959,0.967,0.136,0.111,8,2
KMeans,0.389,0.046,0.696,0.845,0.036,0.033,1,3
KMeans,0.098,0.055,0.961,0.976,0.965,0.979,1,3
KMeans,0.565,0.327,0.961,0.976,0.182,0.114,1,3
KMeans,0.228,0.026,0.657,0.88,0.087,0.077,1,3
KMeans,0.098,0.052,0.963,0.976,0.967,0.979,1,3
KMeans,0.506,0.33,0.963,0.976,0.182,0.121,1,3
specteral,0.479,0.057,0.74,0.574,0.028,0.029,1,3
specteral,0.12,0.061,0.957,0.976,0.959,0.978,1,3
specteral,1.078,0.508,0.957,0.976,0.136,0.077,1,3
specteral,0.503,0.062,0.709,0.731,0.022,0.027,1,3
specteral,0.138,0.075,0.948,0.976,0.948,0.975,1,3
specteral,0.998,0.434,0.948,0.976,0.045,0.021,1,3
affinity,0.419,0.05,0.693,0.71,0.032,0.032,1,3
affinity,0.122,0.061,0.959,0.976,0.96,0.977,1,3
affinity,0.952,0.507,0.959,0.976,0.091,0.054,1,3
affinity,0.414,0.05,0.65,0.801,0.028,0.029,1,3
affinity,0.129,0.068,0.952,0.976,0.953,0.977,1,3
affinity,0.862,0.46,0.952,0.976,0.091,0.047,1,3
KMeans,0.114,0.006,0.788,0.841,0.166,0.191,2,3
KMeans,0.115,0.066,0.961,0.973,0.96,0.972,2,3
KMeans,0.477,0.29,0.961,0.973,0.0,0.0,2,3
KMeans,0.755,0.029,0.813,0.793,0.085,0.097,2,3
KMeans,0.089,0.048,0.969,0.973,0.973,0.977,2,3
KMeans,0.365,0.302,0.969,0.973,0.174,0.154,2,3
specteral,0.575,0.059,0.837,0.502,0.002,0.03,2,3
specteral,0.096,0.049,0.961,0.973,0.969,0.98,2,3
specteral,0.683,0.357,0.961,0.973,0.304,0.212,2,3
specteral,0.575,0.059,0.765,0.62,0.001,0.022,2,3
specteral,0.129,0.073,0.947,0.973,0.949,0.975,2,3
specteral,0.843,0.35,0.947,0.973,0.13,0.067,2,3
affinity,0.565,0.058,0.807,0.639,0.002,0.029,2,3
affinity,0.113,0.062,0.96,0.973,0.961,0.974,2,3
affinity,0.567,0.303,0.96,0.973,0.087,0.059,2,3
affinity,0.591,0.062,0.773,0.63,0.006,0.032,2,3
affinity,0.111,0.061,0.964,0.973,0.964,0.973,2,3
affinity,0.564,0.382,0.964,0.973,0.043,0.032,2,3
KMeans,0.309,0.028,0.746,0.844,0.049,0.069,4,3
KMeans,0.07,0.038,0.974,0.981,0.977,0.984,4,3
KMeans,0.478,0.3,0.974,0.981,0.19,0.138,4,3
KMeans,0.895,0.096,0.639,0.886,0.082,0.091,4,3
KMeans,0.088,0.049,0.965,0.981,0.967,0.983,4,3
KMeans,0.633,0.381,0.965,0.981,0.143,0.077,4,3
specteral,0.549,0.063,0.799,0.524,0.002,0.028,4,3
specteral,0.094,0.049,0.968,0.981,0.968,0.981,4,3
specteral,0.826,0.356,0.968,0.981,0.048,0.028,4,3
specteral,0.593,0.067,0.633,0.772,0.002,0.02,4,3
specteral,0.108,0.059,0.954,0.981,0.956,0.983,4,3
specteral,1.017,0.376,0.954,0.981,0.143,0.059,4,3
affinity,0.552,0.063,0.638,0.677,0.001,0.021,4,3
affinity,0.113,0.059,0.958,0.981,0.958,0.981,4,3
affinity,0.98,0.398,0.958,0.981,0.048,0.021,4,3
affinity,0.552,0.063,0.655,0.739,0.001,0.021,4,3
affinity,0.113,0.058,0.957,0.981,0.958,0.982,4,3
affinity,0.92,0.385,0.957,0.981,0.095,0.042,4,3
KMeans,0.395,0.079,0.658,0.802,0.033,0.042,5,3
KMeans,0.087,0.047,0.97,0.98,0.971,0.981,5,3
KMeans,0.629,0.365,0.97,0.98,0.077,0.05,5,3
KMeans,0.587,0.117,0.665,0.89,0.034,0.04,5,3
KMeans,0.075,0.04,0.969,0.98,0.974,0.985,5,3
KMeans,0.588,0.362,0.969,0.98,0.269,0.171,5,3
specteral,0.577,0.12,0.728,0.556,0.001,0.024,5,3
