,winDiff,pk,coverage,purity,recall,precision,episode,season
affinity,0.578,0.008,0.775,0.865,0.358,0.371,8,2
affinity,0.1,0.053,0.962,0.967,0.97,0.975,8,2
affinity,0.353,0.292,0.962,0.967,0.273,0.24,8,2
KMeans,0.533,0.067,0.776,0.874,0.311,0.302,1,3
KMeans,0.082,0.042,0.973,0.976,0.977,0.979,1,3
KMeans,0.421,0.314,0.973,0.976,0.182,0.167,1,3
KMeans,0.775,0.097,0.823,0.873,0.424,0.368,1,3
KMeans,0.06,0.034,0.977,0.976,0.983,0.982,1,3
KMeans,0.313,0.242,0.977,0.976,0.273,0.286,1,3
specteral,1.178,0.158,0.835,0.808,0.199,0.154,1,3
specteral,0.076,0.039,0.977,0.976,0.981,0.979,1,3
specteral,0.397,0.276,0.977,0.976,0.182,0.19,1,3
specteral,0.739,0.093,0.776,0.884,0.166,0.159,1,3
specteral,0.08,0.044,0.973,0.976,0.976,0.978,1,3
specteral,0.357,0.256,0.973,0.976,0.136,0.125,1,3
affinity,0.828,0.105,0.769,0.9,0.224,0.254,1,3
affinity,0.091,0.049,0.971,0.976,0.973,0.977,1,3
affinity,0.394,0.3,0.971,0.976,0.091,0.077,1,3
affinity,0.613,0.08,0.735,0.929,0.056,0.058,1,3
affinity,0.094,0.047,0.964,0.976,0.97,0.982,1,3
affinity,0.496,0.339,0.964,0.976,0.273,0.188,1,3
KMeans,0.32,0.018,0.867,0.874,0.475,0.44,2,3
KMeans,0.068,0.039,0.972,0.973,0.979,0.981,2,3
KMeans,0.283,0.215,0.972,0.973,0.304,0.292,2,3
KMeans,0.816,0.045,0.877,0.868,0.07,0.045,2,3
KMeans,0.082,0.048,0.974,0.973,0.976,0.975,2,3
KMeans,0.286,0.26,0.974,0.973,0.087,0.091,2,3
specteral,0.777,0.041,0.845,0.801,0.257,0.228,2,3
specteral,0.075,0.043,0.972,0.973,0.977,0.978,2,3
specteral,0.281,0.229,0.972,0.973,0.217,0.208,2,3
specteral,0.787,0.045,0.86,0.865,0.265,0.272,2,3
specteral,0.068,0.04,0.973,0.973,0.979,0.979,2,3
specteral,0.28,0.229,0.973,0.973,0.261,0.261,2,3
affinity,0.724,0.045,0.828,0.887,0.079,0.111,2,3
