,winDiff,pk,coverage,purity,recall,precision,episode,season
affinity,0.456,0.369,0.974,0.974,0.19,0.19,1,2
affinity,0.762,0.11,0.645,0.924,0.008,0.032,1,2
affinity,0.116,0.064,0.957,0.974,0.958,0.976,1,2
affinity,0.543,0.416,0.957,0.974,0.095,0.057,1,2
affinity,0.778,0.12,0.763,0.913,0.007,0.038,1,2
affinity,0.084,0.046,0.968,0.974,0.973,0.98,1,2
affinity,0.404,0.318,0.968,0.974,0.238,0.192,1,2
KMeans,0.256,0.032,0.863,0.938,0.066,0.086,2,2
KMeans,0.09,0.047,0.97,0.975,0.973,0.978,2,2
KMeans,0.272,0.2,0.97,0.975,0.158,0.13,2,2
KMeans,0.373,0.047,0.846,0.867,0.497,0.486,2,2
KMeans,0.063,0.034,0.975,0.975,0.982,0.982,2,2
KMeans,0.291,0.272,0.975,0.975,0.316,0.316,2,2
KMeans,0.266,0.033,0.792,0.836,0.535,0.526,2,2
KMeans,0.082,0.044,0.974,0.975,0.977,0.978,2,2
KMeans,0.36,0.344,0.974,0.975,0.158,0.15,2,2
specteral,0.49,0.061,0.834,0.847,0.048,0.078,2,2
specteral,0.077,0.045,0.97,0.975,0.974,0.98,2,2
specteral,0.346,0.24,0.97,0.975,0.211,0.174,2,2
specteral,0.298,0.037,0.776,0.881,0.081,0.103,2,2
specteral,0.09,0.05,0.97,0.975,0.972,0.977,2,2
specteral,0.371,0.31,0.97,0.975,0.105,0.087,2,2
specteral,0.33,0.041,0.793,0.825,0.152,0.154,2,2
specteral,0.082,0.045,0.972,0.975,0.976,0.978,2,2
specteral,0.43,0.368,0.972,0.975,0.158,0.143,2,2
affinity,0.202,0.025,0.854,0.868,0.159,0.127,2,2
affinity,0.082,0.044,0.974,0.975,0.977,0.978,2,2
affinity,0.358,0.313,0.974,0.975,0.158,0.15,2,2
affinity,0.69,0.094,0.789,0.902,0.007,0.04,2,2
affinity,0.095,0.053,0.967,0.975,0.969,0.977,2,2
affinity,0.386,0.321,0.967,0.975,0.105,0.08,2,2
affinity,0.69,0.094,0.747,0.881,0.007,0.038,2,2
affinity,0.103,0.057,0.966,0.975,0.966,0.975,2,2
affinity,0.45,0.364,0.966,0.975,0.053,0.038,2,2
KMeans,0.06,0.005,0.755,0.915,0.211,0.225,4,2
