,winDiff,pk,coverage,purity,recall,precision,episode,season
specteral,0.109,0.058,0.962,0.976,0.963,0.977,7,3
specteral,0.871,0.372,0.962,0.976,0.091,0.057,7,3
affinity,0.584,0.056,0.817,0.646,0.002,0.034,7,3
affinity,0.107,0.055,0.968,0.976,0.968,0.975,7,3
affinity,0.61,0.346,0.968,0.976,0.0,0.0,7,3
affinity,0.584,0.056,0.772,0.668,0.002,0.033,7,3
affinity,0.1,0.054,0.967,0.976,0.968,0.976,7,3
affinity,0.616,0.381,0.967,0.976,0.045,0.033,7,3
KMeans,0.291,0.002,0.744,0.756,0.137,0.165,8,3
KMeans,0.075,0.044,0.972,0.98,0.973,0.982,8,3
KMeans,0.476,0.289,0.972,0.98,0.111,0.077,8,3
KMeans,1.76,0.09,0.743,0.892,0.055,0.066,8,3
KMeans,0.083,0.044,0.972,0.98,0.973,0.982,8,3
KMeans,0.481,0.315,0.972,0.98,0.111,0.077,8,3
specteral,0.48,0.042,0.86,0.43,0.002,0.029,8,3
specteral,0.099,0.054,0.962,0.98,0.963,0.982,8,3
specteral,0.953,0.294,0.962,0.98,0.111,0.057,8,3
specteral,0.472,0.041,0.843,0.43,0.002,0.03,8,3
specteral,0.101,0.054,0.964,0.98,0.964,0.981,8,3
specteral,0.917,0.359,0.964,0.98,0.056,0.03,8,3
affinity,0.48,0.042,0.779,0.643,0.002,0.03,8,3
affinity,0.101,0.051,0.964,0.98,0.965,0.982,8,3
affinity,0.745,0.317,0.964,0.98,0.111,0.061,8,3
affinity,0.48,0.042,0.8,0.553,0.002,0.034,8,3
affinity,0.081,0.043,0.968,0.98,0.972,0.984,8,3
affinity,0.658,0.317,0.968,0.98,0.222,0.138,8,3
KMeans,0.496,0.032,0.795,0.742,0.034,0.039,10,3
KMeans,0.088,0.048,0.973,0.975,0.974,0.977,10,3
KMeans,0.472,0.356,0.973,0.975,0.074,0.067,10,3
KMeans,0.956,0.081,0.705,0.799,0.034,0.039,10,3
KMeans,0.088,0.049,0.968,0.975,0.971,0.978,10,3
KMeans,0.503,0.406,0.968,0.975,0.148,0.114,10,3
specteral,0.567,0.05,0.852,0.339,0.039,0.042,10,3
specteral,0.091,0.047,0.975,0.975,0.976,0.976,10,3
specteral,0.777,0.471,0.975,0.975,0.037,0.037,10,3
specteral,0.652,0.058,0.787,0.609,0.002,0.024,10,3
specteral,0.117,0.063,0.962,0.975,0.961,0.974,10,3
specteral,0.846,0.454,0.962,0.975,0.0,0.0,10,3
affinity,0.577,0.051,0.761,0.703,0.001,0.026,10,3
affinity,0.117,0.058,0.964,0.975,0.964,0.975,10,3
